Book,Position ID,CUSIP,Sub Type,PRODUCT_CODE_2052a_Collateral_Class,Issuer,Current Factor,Coupon,Maturity Date,Nominal,CA_NOTIONAL,TOTAL_PAYDOWN_BOOK_VALUE,MTB_BOOK VALUE (Clean),PV_NET (MV Clean),MTB_BOOK PRICE (Clean),PRICE (Mkt),NPV_DISC (Clean MTM),Curve Date,Prepay Model,Prepay Rate,Vol Model,Curve Type,Forward Yield,Prospective Yield,Effective Duration,Effective Convexity,Effective DV01,Dollar Duration,1YR,2YR,3YR,5YR,10YR,20YR,30YR,Average Life,LT CPR,OAS,Z-Spread,Factor,Life CPR,GWAC,WALA,WALS,MaxServicerName,MaxServicerPercent,Eff. Dur,DV01,Dollar Return,Eff. Dur.1,DV01.1,Dollar Return.1,Eff. Dur.2,DV01.2,Dollar Return.2,Eff. Dur.3,DV01.3,Dollar Return.3
233_PUB_HTM,612346,000416V38,MUNI,IG-2,ABC CA UNIF SCH DIST,,3,8/1/2036," 580,000 "," 580,000 ", -   ,579951.94,549686.24,99.9917,94.77349,-30265.69,4/30/2026,Muni,100,Single,RFRSwap,3.614178,3.000628,6.872154236,-0.363225311,0.065639488,380.7090304,-0.0074,-0.012,0.5399,0.7888,5.4098,0.1272,0,6.8926,,-78.0884,-36.580174,,,,,,,,3.2188,0.036064919,16.52829898,4.3956,0.047459606,12.45508251,7.0671,0.067785464,0.40132771,7.6319,0.067982361,-6.43838129
233_PUB_HTM,611322,005104HJ6,MUNI,IG-2,ACUSHNET MA,1,3.5,8/1/2034,935000," 935,000 ", -   ,935000,935134.36,100,100.01437,134.36,4/30/2026,Muni,100,Single,RFRSwap,3.497148,3.499404,0.722846806,-2.341987848,0.007292053,68.18069555,0.147,0.034,0.0362,0.221,0.1327,0,0,0.4099,,-159.4466,-46.93904,,,,,,,,0.0766,0.000775828,0.41702176,0.0893,0.000904229,0.32644114,0.3162,0.003194055,0.12188719,3.3074,0.032842021,-1.58149555
233_PUB_HTM,611540,0054823B8,MUNI,IG-2,ADAMS & ARAPAHOE CNTYS CO JT S,,5,12/1/2031,3000000," 3,000,000 ", -   ,3048803.15,3041841,101.6268,101.3947,-6962.15,4/30/2026,Muni,100,Single,RFRSwap,4.712257,4.664976,0.762487292,-0.505048275,0.00788901,236.6703,0.5643,0.0302,0.0284,0.1251,0.012,0,0,0.692,,-125.9517,-116.084637,,,,,,,,0.5755,0.006082804,2.23174024,0.5847,0.006144356,1.61353493,0.6734,0.006992796,0.38636206,1.3498,0.013885324,-0.59359842
233_PUB_HTM,611962,010824MA5,MUNI,IG-2,ALAMEDA CA UNIF SCH DIST ALAME,,3,8/1/2037,1275000," 1,275,000 ", -   ,1255623.97,1195374.08,98.4803,93.75483,-60249.89,4/30/2026,Muni,100,Single,RFRSwap,3.682547,3.161234,6.73261261,-1.062603116,0.063620828,811.165557,0.0873,0.1631,0.2454,0.5953,4.9735,0.6486,0,6.5781,,-87.4209,-34.371795,,,,,,,,1.2167,0.012821849,10.88752327,1.8925,0.019669892,9.43887483,6.97,0.06607642,0.30515953,7.9782,0.0701252,-6.6005661
233_PUB_HTM,611859,010824MB3,MUNI,IG-2,ALAMEDA CA UNIF SCH DIST ALAME,,3,8/1/2038,1000000," 1,000,000 ", -   ,971591.65,927658.1,97.1592,92.76581,-43933.55,4/30/2026,Muni,100,Single,RFRSwap,3.741087,3.28317,7.343177795,-1.040934443,0.068664201,686.64201,0.0527,0.1636,0.2436,0.5766,5.0582,1.2878,0,7.265,,-85.0626,-32.869013,,,,,,,,1.2171,0.012822456,11.84584244,2.1307,0.022123868,10.32726487,7.6068,0.071250737,0.1598034,8.5809,0.074049264,-7.21243037
233_PUB_HTM,612147,012104QK4,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,8/1/2032,280000," 280,000 ", -   ,281200.32,280498.74,100.4287,100.17812,-701.58,4/30/2026,Muni,100,Single,RFRSwap,3.257336,2.271839,0.256583631,0.001326112,0.00259578,7.268184,0.2566,0,0,0,0,0,0,0.2528,,-48.8682,-48.868271,,,,,,,,0.2215,0.002261242,0.93132364,0.2583,0.002630403,0.66759724,0.257,0.002603241,0.14424022,0.2563,0.002589819,-0.11541176
233_PUB_HTM,611680,012104QL2,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,8/1/2033,355000," 355,000 ", -   ,356506.71,355556.68,100.4244,100.15681,-950.03,4/30/2026,Muni,100,Single,RFRSwap,3.341371,2.288709,0.25647673,0.001324754,0.002594152,9.2092396,0.2565,0,0,0,0,0,0,0.2528,,-40.3962,-40.396268,,,,,,,,0.2214,0.002259798,0.93073424,0.2582,0.002628732,0.66717583,0.2568,0.002601604,0.14414964,0.2562,0.002588198,-0.11533946
233_PUB_HTM,611725,012104QM0,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,8/1/2034,410000," 410,000 ", -   ,411690.17,410561.45,100.4122,100.13694,-1128.72,4/30/2026,Muni,100,Single,RFRSwap,3.419759,2.336581,0.256377101,0.001323485,0.002592635,10.6298035,0.2564,0,0,0,0,0,0,0.2528,,-32.4919,-32.491961,,,,,,,,0.2213,0.002258452,0.93018488,0.2581,0.002627174,0.66678305,0.2567,0.002600078,0.14406521,0.2561,0.002586688,-0.11527207
233_PUB_HTM,611288,0153023Y6,MUNI,IG-2,ALEXANDRIA VA,,3,7/15/2033,4980000," 4,980,000 ", -   ,5018107.47,4967288.05,100.7652,99.74474,-50819.42,4/30/2026,Muni,100,Single,RFRSwap,3.039272,2.881277,3.187575579,-1.243959188,0.0320733,1597.25034,0.3869,0.3543,0.2723,1.3599,0.8306,0,0,2.7464,,-186.5172,-79.754505,,,,,,,,1.1828,0.012609937,5.99229467,1.2161,0.012809821,4.71142122,3.1226,0.031668786,0.79764527,4.3641,0.042612109,-2.97726075
233_PUB_HTM,612182,01728VUW8,MUNI,IG-2,ALLEGHENY CNTY PA,,2,11/1/2034,460000," 460,000 ", -   ,409738.19,391315.7,89.0735,85.06863,-18422.5,4/30/2026,Muni,100,Single,RFRSwap,4.097427,3.496646,7.360322952,0.506112695,0.063345201,291.3879246,-0.0211,-0.0311,-0.0578,2.2841,5.1726,0,0,7.9144,,15.5505,19.402699,,,,,,,,5.9036,0.062864684,20.4220104,7.0431,0.070220537,13.63862608,7.4819,0.064380169,-0.01490064,7.4375,0.059396885,-6.20155311
