Book,Position ID,CUSIP,Sub Type,PRODUCT_CODE_2052a_Collateral_Class,Issuer,Current Factor,Coupon,Maturity Date,Nominal,CA_NOTIONAL,TOTAL_PAYDOWN_BOOK_VALUE,MTB_BOOK VALUE (Clean),PV_NET (MV Clean),MTB_BOOK PRICE (Clean),PRICE (Mkt),NPV_DISC (Clean MTM),Curve Date,Prepay Model,Prepay Rate,Vol Model,Curve Type,Forward Yield,Prospective Yield,Effective Duration,Effective Convexity,Effective DV01,Dollar Duration,1YR,2YR,3YR,5YR,10YR,20YR,30YR,Average Life,LT CPR,OAS,Z-Spread,Factor,Life CPR,GWAC,WALA,WALS,MaxServicerName,MaxServicerPercent,Eff. Dur,DV01,Dollar Return,Eff. Dur.1,DV01.1,Dollar Return.1,Eff. Dur.2,DV01.2,Dollar Return.2,Eff. Dur.3,DV01.3,Dollar Return.3,Eff. Dur.4,DV01.4,Dollar Return.4,Eff. Dur.5,DV01.5,Dollar Return.5
233_PUB_HTM,612346,000416V38,MUNI,IG-2,ABC CA UNIF SCH DIST,,3,8/1/2036," 580,000 "," 580,000 ", -   ,579952.28,550313.98,99.9918,94.88172,-29638.3,5/29/2026,Muni,100,Single,RFRSwap,3.605163,3.000652,6.706660271,-0.482539177,0.064293429,372.9018882,-0.0081,-0.0145,0.5784,0.7912,5.2617,0.0862,0,6.7738,,-89.3715,-47.30953,,,,,,,,3.0282,0.034962434,19.59066562,3.1244,0.034996435,16.1447731,4.1558,0.044938684,12.26927891,6.9084,0.06666448,0.63305886,7.5225,0.067507967,-6.12334819,7.7792,0.064655431,-12.75187741
233_PUB_HTM,611322,005104HJ6,MUNI,IG-2,ACUSHNET MA,1,3.5,8/1/2034,935000," 935,000 ", -   ,935000,935121.74,100,100.01302,121.74,5/29/2026,Muni,100,Single,RFRSwap,3.497392,3.499456,0.82358104,-2.329368591,0.008331366,77.8982721,0.1948,0.0697,0.0762,0.3138,0.1976,0,0,0.7381,,-169.904,-47.013239,,,,,,,,0.0451,0.000458578,0.49142457,0.08,0.000813218,0.43920988,0.0896,0.000909228,0.34812832,0.3009,0.00304887,0.15128819,3.1589,0.031492755,-1.46503174,4.8551,0.046424944,-5.54000413
233_PUB_HTM,611540,0054823B8,MUNI,IG-2,ADAMS & ARAPAHOE CNTYS CO JT S,,5,12/1/2031,3000000," 3,000,000 ", -   ,3041766.04,3036055.2,101.3922,101.20184,-5710.84,5/29/2026,Muni,100,Single,RFRSwap,4.749288,4.709911,0.63129878,-0.514604628,0.006544931,196.34793,0.4927,0.0235,0.0231,0.0883,0.008,0,0,0.6127,,-125.0719,-117.791309,,,,,,,,0.5047,0.005354321,2.42452001,0.5041,0.005322076,1.89144405,0.5021,0.005273707,1.36134123,0.5444,0.005661066,0.31473814,1.1796,0.012171051,-0.49248104,2.3602,0.02392425,-2.31055104
233_PUB_HTM,611962,010824MA5,MUNI,IG-2,ALAMEDA CA UNIF SCH DIST ALAME,,3,8/1/2037,1275000," 1,275,000 ", -   ,1255746.94,1197055.94,98.49,93.88674,-58691,5/29/2026,Muni,100,Single,RFRSwap,3.67,3.16,7.02,-1.28,0.067," 2,547 ",0.05,0.13,0.25,0.57,5.38,0.65,0.00,7.4,0.0,-76.6,-45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.01,11.66,1.15,0.01,10.49,1.68,0.02,9.18,6.80,0.06,0.50,7.87,0.07,-6.32,8.27,0.07,-13.22
233_PUB_HTM,611859,010824MB3,MUNI,IG-2,ALAMEDA CA UNIF SCH DIST ALAME,,3,8/1/2038,1000000," 1,000,000 ", -   ,971753.22,929878.6,97.1753,92.98786,-41874.62,5/29/2026,Muni,100,Single,RFRSwap,3.72,3.28,7.64,-1.18,0.072," 2,153 ",0.03,0.12,0.22,0.56,5.38,1.35,0.00,8.1,0.0,-75.0,-43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.01,12.54,1.15,0.01,11.37,1.84,0.02,10.00,7.47,0.07,0.37,8.48,0.07,-6.94,8.83,0.07,-14.20
233_PUB_HTM,612147,012104QK4,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,8/1/2032,280000," 280,000 ", -   ,280795.86,280621.4,100.2842,100.22193,-174.46,5/29/2026,Muni,100,Single,RFRSwap,2.67,2.31,0.17,0.00,0.002, 20 ,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.2,0.0,-105.4,-105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.73,0.16,0.00,0.63,0.18,0.00,0.45,0.17,0.00,0.09,0.17,0.00,-0.09,0.17,0.00,-0.26
233_PUB_HTM,611680,012104QL2,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,8/1/2033,355000," 355,000 ", -   ,355999.01,355787.85,100.2814,100.22193,-211.16,5/29/2026,Muni,100,Single,RFRSwap,2.67,2.33,0.17,0.00,0.002, 25 ,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.2,0.0,-105.4,-105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.73,0.16,0.00,0.63,0.18,0.00,0.45,0.17,0.00,0.09,0.17,0.00,-0.09,0.17,0.00,-0.26
233_PUB_HTM,611725,012104QM0,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,8/1/2034,410000," 410,000 ", -   ,411120.65,410909.91,100.2733,100.22193,-210.74,5/29/2026,Muni,100,Single,RFRSwap,2.67,2.38,0.17,0.00,0.002, 29 ,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.2,0.0,-105.4,-105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.73,0.16,0.00,0.63,0.18,0.00,0.45,0.17,0.00,0.09,0.17,0.00,-0.09,0.17,0.00,-0.26
233_PUB_HTM,611288,0153023Y6,MUNI,IG-2,ALEXANDRIA VA,,3,7/15/2033,4980000," 4,980,000 ", -   ,5015443.3,4979507.48,100.7117,99.99011,-35935.82,5/29/2026,Muni,100,Single,RFRSwap,3.00,2.89,2.88,-1.57,0.029," 4,345 ",0.44,0.32,0.27,1.21,0.68,0.00,0.00,2.6,0.0,-184.5,-96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.01,6.74,1.12,0.01,5.58,1.13,0.01,4.38,2.80,0.03,0.91,4.09,0.04,-2.58,4.90,0.05,-6.93
233_PUB_HTM,612182,01728VUW8,MUNI,IG-2,ALLEGHENY CNTY PA,,2,11/1/2034,460000," 460,000 ", -   ,410170.25,391736.6,89.1674,85.16013,-18433.65,5/29/2026,Muni,100,Single,RFRSwap,4.10,3.50,7.41,0.53,0.063, 581 ,-0.02,-0.03,-0.07,2.36,5.16,0.00,0.00,8.0,0.0,6.6,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.25,0.05,25.51,5.75,0.06,20.29,6.95,0.07,13.68,7.47,0.06,0.19,7.44,0.06,-5.95,7.37,0.05,-11.62
